domain,prep,n,phi_km,ratio,converged,bound_hit,secs
YRD4,raw,1290,5985.5,5.0,True,True,5.29
YRD4,detrend1,1290,22.2,0.019,True,False,9.06
YRD4,raw,2410,5985.5,5.0,True,True,26.29
YRD4,detrend1,2410,21.4,0.018,True,False,42.81
YRD4,raw,3438,5985.5,5.0,True,True,98.5
YRD4,detrend1,3438,25.1,0.021,True,False,108.47
MidYangtze,raw,1098,2034.7,1.168,True,False,3.71
MidYangtze,detrend1,1098,16.1,0.009,True,False,4.07
MidYangtze,raw,2194,1998.3,1.147,True,False,22.87
MidYangtze,detrend1,2194,20.3,0.012,True,False,29.99
MidYangtze,raw,3228,2118.8,1.216,True,False,52.51
MidYangtze,detrend1,3228,20.1,0.012,True,False,126.45
EastChina,raw,1230,1266.1,0.307,True,False,6.98
EastChina,detrend1,1230,22.1,0.005,True,False,11.37
EastChina,raw,2312,1343.6,0.326,True,False,31.66
EastChina,detrend1,2312,18.8,0.005,True,False,50.19
EastChina,raw,3397,1418.3,0.344,True,False,71.36
EastChina,detrend1,3397,17.2,0.004,True,False,276.99
Nationwide,raw,1398,1431.2,0.209,True,False,10.46
Nationwide,detrend1,1398,28.3,0.004,True,False,11.97
Nationwide,raw,2575,2231.6,0.325,True,False,32.47
Nationwide,detrend1,2575,24.9,0.004,True,False,91.2
