domain,m,n_actual,spacing_km,D_km,phi_true_km,phi_est_km,ratio_est,ratio_true,sigma2,tau2,sigma2_frac,logml,converged,bound_hit,secs
YRD4,36,1296,24.1,1197.1,10,8.2,0.0069,0.0084,6.168,0.0,1.0,-3014.96,True,False,7.15
YRD4,36,1296,24.1,1197.1,20,25.7,0.0215,0.0167,3.452,2.823,0.55,-2965.54,True,False,4.13
YRD4,36,1296,24.1,1197.1,50,27.8,0.0232,0.0418,5.559,0.0,1.0,-2731.59,True,False,6.29
YRD4,36,1296,24.1,1197.1,100,119.8,0.1,0.0835,4.817,1.529,0.759,-2538.75,True,False,3.29
YRD4,36,1296,24.1,1197.1,200,226.6,0.1893,0.1671,5.606,1.356,0.805,-2386.5,True,False,5.99
YRD4,36,1296,24.1,1197.1,500,477.8,0.3992,0.4177,4.692,1.369,0.774,-2241.53,True,False,5.77
YRD4,36,1296,24.1,1197.1,1000,581.9,0.4861,0.8354,3.306,1.258,0.724,-2136.51,True,False,5.38
YRD4,36,1296,24.1,1197.1,2000,1190.7,0.9947,1.6707,3.499,1.32,0.726,-2113.97,True,False,4.75
MidYangtze,33,1089,38.5,1741.9,10,13.7,0.0079,0.0057,0.239,5.984,0.038,-2541.82,True,False,4.01
MidYangtze,33,1089,38.5,1741.9,20,16.3,0.0094,0.0115,6.422,0.0,1.0,-2548.99,True,False,9.52
MidYangtze,33,1089,38.5,1741.9,50,39.6,0.0227,0.0287,6.329,0.071,0.989,-2411.49,True,False,5.1
MidYangtze,33,1089,38.5,1741.9,100,105.7,0.0607,0.0574,4.952,1.404,0.779,-2244.48,True,False,3.46
MidYangtze,33,1089,38.5,1741.9,200,203.2,0.1167,0.1148,5.0,1.342,0.788,-2088.66,True,False,2.44
MidYangtze,33,1089,38.5,1741.9,500,350.3,0.2011,0.287,4.23,1.268,0.769,-1938.39,True,False,2.55
MidYangtze,33,1089,38.5,1741.9,1000,298.8,0.1715,0.5741,1.536,1.302,0.541,-1837.85,True,False,2.53
MidYangtze,33,1089,38.5,1741.9,2000,1377.4,0.7907,1.1482,4.087,1.329,0.755,-1808.52,True,False,2.48
EastChina,35,1225,85.8,4125.7,10,7.9,0.0019,0.0024,0.03,6.13,0.005,-2852.98,True,False,6.19
EastChina,35,1225,85.8,4125.7,20,9.2,0.0022,0.0048,0.001,6.432,0.0,-2879.58,True,False,4.83
EastChina,35,1225,85.8,4125.7,50,44.3,0.0107,0.0121,6.393,0.0,1.0,-2849.97,True,False,12.86
EastChina,35,1225,85.8,4125.7,100,76.0,0.0184,0.0242,6.192,0.0,1.0,-2732.61,True,False,8.57
EastChina,35,1225,85.8,4125.7,200,171.0,0.0414,0.0485,5.166,1.047,0.832,-2560.88,True,False,3.55
EastChina,35,1225,85.8,4125.7,500,585.3,0.1419,0.1212,6.019,1.35,0.817,-2338.55,True,False,3.23
EastChina,35,1225,85.8,4125.7,1000,572.9,0.1389,0.2424,3.23,1.225,0.725,-2168.37,True,False,3.37
EastChina,35,1225,85.8,4125.7,2000,1490.3,0.3612,0.4848,3.59,1.359,0.725,-2099.42,True,False,3.12
Nationwide,37,1369,132.8,6857.4,10,21.6,0.0031,0.0015,0.0,6.144,0.0,-3186.46,True,False,6.63
Nationwide,37,1369,132.8,6857.4,20,31.7,0.0046,0.0029,6.11,0.363,0.944,-3220.75,False,False,14.33
Nationwide,37,1369,132.8,6857.4,50,43.0,0.0063,0.0073,6.328,0.036,0.994,-3205.83,False,False,12.51
Nationwide,37,1369,132.8,6857.4,100,94.8,0.0138,0.0146,4.781,1.367,0.778,-3130.28,True,False,8.04
Nationwide,37,1369,132.8,6857.4,200,185.5,0.0271,0.0292,5.354,1.083,0.832,-2991.64,True,False,5.92
Nationwide,37,1369,132.8,6857.4,500,874.0,0.1275,0.0729,6.588,1.651,0.8,-2725.1,True,False,3.87
Nationwide,37,1369,132.8,6857.4,1000,979.7,0.1429,0.1458,5.324,1.213,0.814,-2511.6,True,False,4.4
Nationwide,37,1369,132.8,6857.4,2000,1877.8,0.2738,0.2917,5.254,1.304,0.801,-2407.89,True,False,4.06
Nationwide,51,2601,95.6,6857.4,10,34286.8,5.0,0.0015,0.0,6.084,0.0,-6040.53,True,True,61.07
Nationwide,51,2601,95.6,6857.4,20,34286.8,5.0,0.0029,0.056,6.436,0.009,-6114.28,True,True,71.19
Nationwide,51,2601,95.6,6857.4,50,45.0,0.0066,0.0073,6.415,0.0,1.0,-6061.94,True,False,175.81
Nationwide,51,2601,95.6,6857.4,100,80.1,0.0117,0.0146,5.269,0.605,0.897,-5788.31,True,False,123.5
Nationwide,51,2601,95.6,6857.4,200,197.3,0.0288,0.0292,4.949,1.324,0.789,-5471.94,True,False,90.1
Nationwide,51,2601,95.6,6857.4,500,586.3,0.0855,0.0729,5.226,1.466,0.781,-4995.19,True,False,66.25
Nationwide,51,2601,95.6,6857.4,1000,784.6,0.1144,0.1458,3.294,1.325,0.713,-4602.85,True,False,53.95
Nationwide,51,2601,95.6,6857.4,2000,2730.6,0.3982,0.2917,5.769,1.321,0.814,-4417.25,True,False,61.58
