domain,axis,setting,prep,n_actual,mean_spacing_km,D_km,phi_km,ratio_phi_domain,sigma2,tau2,sigma2_frac,logml,converged,bound_hit,cond,secs
YRD4,none,raw,raw,2410,24.38,1197.100177863955,5985.500889319774,4.999999999999999,1859.4999293728104,0.6740776687965698,1.0,-5409.781612399515,True,True,670.3029445895843,30.11
YRD4,window,win0.5,detrend,2410,24.38,1197.100177863955,9.217311592150386,0.007699699459235977,4.992706053264196,5.412990742918068e-07,1.0,-5168.028530009486,True,False,1.8662402614612632,65.59
YRD4,window,win1.0,detrend,2410,24.38,1197.100177863955,21.412520106529172,0.017886990999146445,9.303303270416643,1.071060499020356e-06,1.0,-5343.977112472397,True,False,3.828451423295736,46.02
YRD4,window,win2.0,detrend,2410,24.38,1197.100177863955,71.32806017413554,0.05958403606739891,23.302930606131067,0.5727124294647842,0.976,-5392.024618909567,True,False,8.80390169913025,24.34
YRD4,offset,off0.00,detrend,2410,24.38,1197.100177863955,21.412520106529172,0.017886990999146445,9.303303270416643,1.071060499020356e-06,1.0,-5343.977112472397,True,False,3.828451423295736,39.4
YRD4,offset,off0.33,detrend,2406,24.41,1197.100177863955,20.966638742932783,0.017514523120650265,9.202604968221939,7.646304981306253e-07,1.0,-5340.739705016638,True,False,3.761357414663158,35.3
YRD4,offset,off0.67,detrend,2402,24.43,1197.100177863955,23.120752372258046,0.019313966199147634,9.6479481429114,9.84451591448109e-07,1.0,-5302.982205863107,True,False,3.953033134996636,30.53
MidYangtze,none,raw,raw,2194,37.19,1741.9005143245192,1998.3133727136562,1.1472029293754298,758.4816977375862,0.6201893567081603,0.999,-5741.20594128209,True,False,212.87838424740127,16.91
MidYangtze,window,win0.5,detrend,2194,37.19,1741.9005143245192,3267.8851758524265,1.8760458183340392,0.8157094355567186,5.729877817209799,0.125,-5041.014887629779,True,False,1.130890989575004,15.82
MidYangtze,window,win1.0,detrend,2194,37.19,1741.9005143245192,20.315676341211873,0.011662937219517363,10.827120209806827,1.2728890256194287e-06,1.0,-5514.660312305081,True,False,3.1309075657960843,29.31
MidYangtze,window,win2.0,detrend,2194,37.19,1741.9005143245192,55.553847077255604,0.031892663570857537,24.5609556143858,5.9675583150968836e-06,1.0,-5690.192248193861,True,False,8.183207795799914,24.69
MidYangtze,offset,off0.00,detrend,2194,37.19,1741.9005143245192,20.315676341211873,0.011662937219517363,10.827120209806827,1.2728890256194287e-06,1.0,-5514.660312305081,True,False,3.1309075657960843,28.16
